patient,channel,category
n5,C4-A1,EEG
n5,ROC-LOC,EOG
n5,EMG1-EMG2,EMG
n5,ECG1-ECG2,ECG
n5,DX1-DX2,OTHER
n5,SX1-SX2,OTHER
n5,SAO2,OXYGEN
n5,HR,UNKNOWN
n5,PLETH,OXYGEN
n5,STAT,UNKNOWN
n5,MIC,OTHER
n6,LOC-A1,UNKNOWN
n6,ROC-A2,UNKNOWN
n6,EMG-EMG,UNKNOWN
n6,C3-A2,EEG
n6,O2-A1,UNKNOWN
n6,ECG,ECG
n6,TAG,UNKNOWN
n6,THE,UNKNOWN
n7,LOC-A1,UNKNOWN
n7,ROC-A2,UNKNOWN
n7,EMG-EMG,UNKNOWN
n7,C3-A2,EEG
n7,O2-A1,UNKNOWN
n7,ECG,ECG
n7,TAG,UNKNOWN
n7,THE,UNKNOWN
n8,C3-A2,EEG
n8,C4-P4,EEG
n8,EKG,ECG
n8,EOG-L,UNKNOWN
n8,EOG-R,UNKNOWN
n8,F4-C4,EEG
n8,FP2-F4,EEG
n8,P4-O2,EEG
n8,TIB DX,UNKNOWN
n8,TIB SX,UNKNOWN
n8,ABDOMEN,ABDOMEN
n8,FLOW,FLOW
n8,MILO,UNKNOWN
n8,THORAX,THORAX
n9,LOC-A1,UNKNOWN
n9,ROC-A2,UNKNOWN
n9,EMG,EMG
n9,C3-A2,EEG
n9,O2-A1,UNKNOWN
n9,ECG,ECG
n9,TAG,UNKNOWN
n9,THE,UNKNOWN
narco1,ROC-LOC,EOG
narco1,FP2-F4,EEG
narco1,F4-C4,EEG
narco1,C4-P4,EEG
narco1,P4-O2,EEG
narco1,C4-A1,EEG
narco1,EMG1-EMG2,EMG
narco1,ECG1-ECG2,ECG
narco1,TORACE,THORAX
narco1,DX1-DX2,OTHER
narco1,SX1-SX2,OTHER
narco1,SAO2,OXYGEN
narco1,HR,UNKNOWN
narco1,PLETH,OXYGEN
narco1,STAT,UNKNOWN
narco2,ROC-LOC,EOG
narco2,FP2-F4,EEG
narco2,F4-C4,EEG
narco2,C4-P4,EEG
narco2,P4-O2,EEG
narco2,C4-A1,EEG
narco2,EMG1-EMG2,EMG
narco2,ECG1-ECG2,ECG
narco2,TORACE,THORAX
narco2,SAO2,OXYGEN
narco2,HR,UNKNOWN
narco2,PLETH,OXYGEN
narco2,STAT,UNKNOWN
narco3,ROC-LOC,EOG
narco3,FP2-F4,EEG
narco3,F4-C4,EEG
narco3,C4-P4,EEG
narco3,P4-O2,EEG
narco3,C4-A1,EEG
narco3,EMG1-EMG2,EMG
narco3,ECG1-ECG2,ECG
narco3,DX1-DX2,OTHER
narco3,SX1-SX2,OTHER
narco4,FP2-F4,EEG
narco4,F4-C4,EEG
narco4,C4-P4,EEG
narco4,P4-O2,EEG
narco4,FP1-F3,EEG
narco4,F3-C3,EEG
narco4,C3-P3,EEG
narco4,P3-O1,EEG
narco4,C4-A1,EEG
narco4,ROC-LOC,EOG
narco4,EMG1-EMG2,EMG
narco4,ECG1-ECG2,ECG
narco4,DX1-DX2,OTHER
narco4,SX1-SX2,OTHER
narco4,SAO2,OXYGEN
narco4,HR,UNKNOWN
narco4,PLETH,OXYGEN
narco4,STAT,UNKNOWN
narco5,FP2-F4,EEG
narco5,F4-C4,EEG
narco5,C4-P4,EEG
narco5,P4-O2,EEG
narco5,C4-A1,EEG
narco5,ROC-LOC,EOG
narco5,EMG1-EMG2,EMG
narco5,ECG1-ECG2,ECG
narco5,DX1-DX2,OTHER
narco5,SX1-SX2,OTHER
narco5,SAO2,OXYGEN
narco5,HR,UNKNOWN
narco5,PLETH,OXYGEN
narco5,STAT,UNKNOWN
nfle1,FP2-F4,EEG
nfle1,F4-C4,EEG
nfle1,C4-P4,EEG
nfle1,P4-O2,EEG
nfle1,F8-T4,EEG
nfle1,T4-T6,EEG
nfle1,FP1-F3,EEG
nfle1,F3-C3,EEG
nfle1,C3-P3,EEG
nfle1,P3-O1,EEG
nfle1,F7-T3,EEG
nfle1,T3-T5,EEG
nfle1,C4-A1,EEG
nfle1,ROC-LOC,EOG
nfle1,EMG1-EMG2,EMG
nfle1,ECG1-ECG2,ECG
nfle1,DX1-DX2,OTHER
nfle1,SX1-SX2,OTHER
nfle1,SAO2,OXYGEN
nfle1,HR,UNKNOWN
nfle1,PLETH,OXYGEN
nfle1,STAT,UNKNOWN
nfle10,FP2-F4,EEG
nfle10,F4-C4,EEG
nfle10,C4-P4,EEG
nfle10,P4-O2,EEG
nfle10,F8-T4,EEG
nfle10,T4-T6,EEG
nfle10,FP1-F3,EEG
nfle10,F3-C3,EEG
nfle10,C3-P3,EEG
nfle10,P3-O1,EEG
nfle10,F7-T3,EEG
nfle10,T3-T5,EEG
nfle10,C4-A1,EEG
nfle10,ROC-LOC,EOG
nfle10,EMG1-EMG2,EMG
nfle10,ECG1-ECG2,ECG
nfle10,DX1-DX2,OTHER
nfle10,SX1-SX2,OTHER
nfle10,SAO2,OXYGEN
nfle10,HR,UNKNOWN
nfle10,PLETH,OXYGEN
nfle10,OX STATUS,OXYGEN
nfle11,ROC-LOC,EOG
nfle11,FP2-F4,EEG
nfle11,F4-C4,EEG
nfle11,C4-P4,EEG
nfle11,P4-O2,EEG
nfle11,F8-T4,EEG
nfle11,T4-T6,EEG
nfle11,FP1-F3,EEG
nfle11,F3-C3,EEG
nfle11,C3-P3,EEG
nfle11,P3-O1,EEG
nfle11,F7-T3,EEG
nfle11,T3-T5,EEG
nfle11,C4-A1,EEG
nfle11,EMG1-EMG2,EMG
nfle11,ECG1-ECG2,ECG
nfle11,DX1-DX2,OTHER
nfle11,SX1-SX2,OTHER
nfle11,SAO2,OXYGEN
nfle11,HR,UNKNOWN
nfle11,PLETH,OXYGEN
nfle11,OX STATUS,OXYGEN
nfle12,FP2-F4,EEG
nfle12,F4-C4,EEG
nfle12,C4-P4,EEG
nfle12,P4-O2,EEG
nfle12,F8-T4,EEG
nfle12,T4-T6,EEG
nfle12,FP1-F3,EEG
nfle12,F3-C3,EEG
nfle12,C3-P3,EEG
nfle12,P3-O1,EEG
nfle12,F7-T3,EEG
nfle12,T3-T5,EEG
nfle12,C4-A1,EEG
nfle12,ROC-LOC,EOG
nfle12,EMG1-EMG2,EMG
nfle12,ECG1-ECG2,ECG
nfle12,DX1-DX2,OTHER
nfle12,SX1-SX2,OTHER
nfle12,SAO2,OXYGEN
nfle12,HR,UNKNOWN
nfle12,PLETH,OXYGEN
nfle12,STAT,UNKNOWN
nfle13,FP2-F4,EEG
nfle13,F4-C4,EEG
nfle13,C4-P4,EEG
nfle13,P4-O2,EEG
nfle13,F8-T4,EEG
nfle13,T4-T6,EEG
nfle13,FP1-F3,EEG
nfle13,F3-C3,EEG
nfle13,C3-P3,EEG
nfle13,P3-O1,EEG
nfle13,F7-T3,EEG
nfle13,T3-T5,EEG
nfle13,C4-A1,EEG
nfle13,ROC-LOC,EOG
nfle13,EMG1-EMG2,EMG
nfle13,ECG1-ECG2,ECG
nfle13,DX1-DX2,OTHER
nfle13,SX1-SX2,OTHER
nfle13,SAO2,OXYGEN
nfle13,HR,UNKNOWN
nfle13,PLETH,OXYGEN
nfle13,STAT,UNKNOWN
nfle13,MIC,OTHER
nfle14,FP2-F4,EEG
nfle14,F4-C4,EEG
nfle14,C4-P4,EEG
nfle14,P4-O2,EEG
nfle14,F8-T4,EEG
nfle14,T4-T6,EEG
nfle14,FP1-F3,EEG
nfle14,F3-C3,EEG
nfle14,C3-P3,EEG
nfle14,P3-O1,EEG
nfle14,F7-T3,EEG
nfle14,T3-T5,EEG
nfle14,C4-A1,EEG
nfle14,ROC-LOC,EOG
nfle14,EMG1-EMG2,EMG
nfle14,ECG1-ECG2,ECG
nfle14,DX1-DX2,OTHER
nfle14,SX1-SX2,OTHER
nfle14,SAO2,OXYGEN
nfle14,HR,UNKNOWN
nfle14,PLETH,OXYGEN
nfle14,STAT,UNKNOWN
nfle14,MIC,OTHER
nfle15,FP2-F4,EEG
nfle15,F4-C4,EEG
nfle15,C4-P4,EEG
nfle15,P4-O2,EEG
nfle15,F8-T4,EEG
nfle15,T4-T6,EEG
nfle15,FP1-F3,EEG
nfle15,F3-C3,EEG
nfle15,C3-P3,EEG
nfle15,P3-O1,EEG
nfle15,F7-T3,EEG
nfle15,T3-T5,EEG
nfle15,C4-A1,EEG
nfle15,ROC-LOC,EOG
nfle15,EMG1-EMG2,EMG
nfle15,ECG1-ECG2,ECG
nfle15,DX1-DX2,OTHER
nfle15,SX1-SX2,OTHER
nfle15,SAO2,OXYGEN
nfle15,HR,UNKNOWN
nfle15,PLETH,OXYGEN
nfle15,STAT,UNKNOWN
nfle16,FP2-F4,EEG
nfle16,F4-C4,EEG
nfle16,C4-P4,EEG
nfle16,P4-O2,EEG
nfle16,F8-T4,EEG
nfle16,T4-T6,EEG
nfle16,FP1-F3,EEG
nfle16,F3-C3,EEG
nfle16,C3-P3,EEG
nfle16,P3-O1,EEG
nfle16,F7-T3,EEG
nfle16,T3-T5,EEG
nfle16,C4-A1,EEG
nfle16,ROC-LOC,EOG
nfle16,EMG1-EMG2,EMG
nfle16,ECG1-ECG2,ECG
nfle16,DX1-DX2,OTHER
nfle16,SX1-SX2,OTHER
nfle16,SAO2,OXYGEN
nfle16,HR,UNKNOWN
nfle16,PLETH,OXYGEN
nfle16,STAT,UNKNOWN
nfle17,FP2-F4,EEG
nfle17,F4-C4,EEG
nfle17,C4-P4,EEG
nfle17,P4-O2,EEG
nfle17,F8-T4,EEG
nfle17,T4-T6,EEG
nfle17,FP1-F3,EEG
nfle17,F3-C3,EEG
nfle17,C3-P3,EEG
nfle17,P3-O1,EEG
nfle17,F7-T3,EEG
nfle17,T3-T5,EEG
nfle17,C4-A1,EEG
nfle17,ROC-LOC,EOG
nfle17,EMG1-EMG2,EMG
nfle17,ECG1-ECG2,ECG
nfle17,DX1-DX2,OTHER
nfle17,SX1-SX2,OTHER
nfle17,SAO2,OXYGEN
nfle17,HR,UNKNOWN
nfle17,PLETH,OXYGEN
nfle17,STAT,UNKNOWN
nfle18,FP2-F4,EEG
nfle18,F4-C4,EEG
nfle18,C4-P4,EEG
nfle18,P4-O2,EEG
nfle18,F8-T4,EEG
nfle18,T4-T6,EEG
nfle18,FP1-F3,EEG
nfle18,F3-C3,EEG
nfle18,C3-P3,EEG
nfle18,P3-O1,EEG
nfle18,F7-T3,EEG
nfle18,T3-T5,EEG
nfle18,C4-A1,EEG
nfle18,ROC-LOC,EOG
nfle18,EMG1-EMG2,EMG
nfle18,ECG1-ECG2,ECG
nfle18,DX1-DX2,OTHER
nfle18,SX1-SX2,OTHER
nfle18,SAO2,OXYGEN
nfle18,HR,UNKNOWN
nfle18,PLETH,OXYGEN
nfle18,STAT,UNKNOWN
nfle18,MIC,OTHER
nfle19,FP2-F4,EEG
nfle19,F4-C4,EEG
nfle19,C4-P4,EEG
nfle19,P4-O2,EEG
nfle19,F8-T4,EEG
nfle19,T4-T6,EEG
nfle19,FP1-F3,EEG
nfle19,F3-C3,EEG
nfle19,C3-P3,EEG
nfle19,P3-O1,EEG
nfle19,F7-T3,EEG
nfle19,T3-T5,EEG
nfle19,C4-A1,EEG
nfle19,ROC-LOC,EOG
nfle19,EMG1-EMG2,EMG
nfle19,ECG1-ECG2,ECG
nfle19,DX1-DX2,OTHER
nfle19,SX1-SX2,OTHER
nfle19,SAO2,OXYGEN
nfle19,HR,UNKNOWN
nfle19,PLETH,OXYGEN
nfle19,OX STATUS,OXYGEN
nfle2,FP2-F4,EEG
nfle2,F4-C4,EEG
nfle2,C4-P4,EEG
nfle2,P4-O2,EEG
nfle2,F8-T4,EEG
nfle2,T4-T6,EEG
nfle2,FP1-F3,EEG
nfle2,F3-C3,EEG
nfle2,C3-P3,EEG
nfle2,P3-O1,EEG
nfle2,F7-T3,EEG
nfle2,T3-T5,EEG
nfle2,C4-A1,EEG
nfle2,ROC-LOC,EOG
nfle2,EMG1-EMG2,EMG
nfle2,ECG1-ECG2,ECG
nfle2,DX1-DX2,OTHER
nfle2,SX1-SX2,OTHER
nfle2,SAO2,OXYGEN
nfle2,HR,UNKNOWN
nfle2,PLETH,OXYGEN
nfle2,STAT,UNKNOWN
nfle20,FP2-F4,EEG
nfle20,F4-C4,EEG
nfle20,C4-P4,EEG
nfle20,P4-O2,EEG
nfle20,F8-T4,EEG
nfle20,T4,UNKNOWN
nfle20,FP1-F3,EEG
nfle20,F3-C3,EEG
nfle20,C3-P3,EEG
nfle20,P3-O1,EEG
nfle20,F7-T3,EEG
nfle20,T3-T5,EEG
nfle20,C4-A1,EEG
nfle20,ROC-LOC,EOG
nfle20,EMG1-EMG2,EMG
nfle20,ECG1-ECG2,ECG
nfle20,DX1-DX2,OTHER
nfle20,SX1-SX2,OTHER
nfle20,SAO2,OXYGEN
nfle20,HR,UNKNOWN
nfle20,PLETH,OXYGEN
nfle20,OX STATUS,OXYGEN
nfle21,FP2-F4,EEG
nfle21,F4-C4,EEG
nfle21,C4-P4,EEG
nfle21,P4-O2,EEG
nfle21,F8-T4,EEG
nfle21,T4-T6,EEG
nfle21,FP1-F3,EEG
nfle21,F3-C3,EEG
nfle21,C3-P3,EEG
nfle21,P3-O1,EEG
nfle21,F7-T3,EEG
nfle21,T3-T5,EEG
nfle21,C4-A1,EEG
nfle21,ROC-LOC,EOG
nfle21,EMG1-EMG2,EMG
nfle21,ECG1-ECG2,ECG
nfle21,DX1-DX2,OTHER
nfle21,SX1-SX2,OTHER
nfle21,SAO2,OXYGEN
nfle21,HR,UNKNOWN
nfle21,PLETH,OXYGEN
nfle21,STAT,UNKNOWN
nfle22,FP2-F4,EEG
nfle22,F4-C4,EEG
nfle22,C4-P4,EEG
nfle22,P4-O2,EEG
nfle22,F8-T4,EEG
nfle22,T4-T6,EEG
nfle22,FP1-F3,EEG
nfle22,F3-C3,EEG
nfle22,C3-P3,EEG
nfle22,P3-O1,EEG
nfle22,F7-T3,EEG
nfle22,T3-T5,EEG
nfle22,C4-A1,EEG
nfle22,ROC-LOC,EOG
nfle22,EMG1-EMG2,EMG
nfle22,ECG1-ECG2,ECG
nfle22,DX1-DX2,OTHER
nfle22,SX1-SX2,OTHER
nfle22,SAO2,OXYGEN
nfle22,HR,UNKNOWN
nfle22,PLETH,OXYGEN
nfle22,STAT,UNKNOWN
nfle22,MIC,OTHER
nfle23,FP2-F4,EEG
nfle23,F4-C4,EEG
nfle23,C4-P4,EEG
nfle23,P4-O2,EEG
nfle23,F8-T4,EEG
nfle23,T4-T6,EEG
nfle23,FP1-F3,EEG
nfle23,F3-C3,EEG
nfle23,C3-P3,EEG
nfle23,P3-O1,EEG
nfle23,F7-T3,EEG
nfle23,T3-T5,EEG
nfle23,C4-A1,EEG
nfle23,ROC-LOC,EOG
nfle23,EMG1-EMG2,EMG
nfle23,ECG1-ECG2,ECG
nfle23,DX1-DX2,OTHER
nfle23,SX1-SX2,OTHER
nfle23,SAO2,OXYGEN
nfle23,HR,UNKNOWN
nfle23,PLETH,OXYGEN
nfle23,OX STATUS,OXYGEN
nfle24,FP2-F4,EEG
nfle24,F4-C4,EEG
nfle24,C4-P4,EEG
nfle24,P4-O2,EEG
nfle24,F8-T4,EEG
nfle24,T4-T6,EEG
nfle24,FP1-F3,EEG
nfle24,F3-C3,EEG
nfle24,C3-P3,EEG
nfle24,P3-O1,EEG
nfle24,F7-T3,EEG
nfle24,T3-T5,EEG
nfle24,C4-A1,EEG
nfle24,ROC-LOC,EOG
nfle24,EMG1-EMG2,EMG
nfle24,ECG1-ECG2,ECG
nfle24,DX1-DX2,OTHER
nfle24,SX1-SX2,OTHER
nfle24,SAO2,OXYGEN
nfle24,HR,UNKNOWN
nfle24,PLETH,OXYGEN
nfle24,STAT,UNKNOWN
nfle24,MIC,OTHER
nfle25,POSITION,OTHER
nfle25,TIB SX,UNKNOWN
nfle25,TIB DX,UNKNOWN
nfle25,MIC,OTHER
nfle25,C3,UNKNOWN
nfle25,C4,UNKNOWN
nfle25,O1,UNKNOWN
nfle25,O2,UNKNOWN
nfle25,A1,UNKNOWN
nfle25,A2,UNKNOWN
nfle25,ROC,UNKNOWN
nfle25,LOC,UNKNOWN
nfle25,ECG1,UNKNOWN
nfle25,ECG2,UNKNOWN
nfle25,EMG1,UNKNOWN
nfle25,EMG2,UNKNOWN
nfle25,FP2,UNKNOWN
nfle25,F4,UNKNOWN
nfle25,P4,UNKNOWN
nfle25,FP1,UNKNOWN
nfle25,F3,UNKNOWN
nfle25,P3,UNKNOWN
nfle25,F8,UNKNOWN
nfle25,T4,UNKNOWN
nfle25,T6,UNKNOWN
nfle25,F7,UNKNOWN
nfle25,T5,UNKNOWN
nfle25,T3,UNKNOWN
nfle25,TORACE,THORAX
nfle25,ADDDOME,ABDOMEN
nfle25,STAT,UNKNOWN
nfle25,HR,UNKNOWN
nfle25,SAO2,OXYGEN
nfle25,PLETH,OXYGEN
nfle26,FP2-F4,EEG
nfle26,F4-C4,EEG
nfle26,C4-P4,EEG
nfle26,P4-O2,EEG
nfle26,F8-T4,EEG
nfle26,T4-T6,EEG
nfle26,FP1-F3,EEG
nfle26,F3-C3,EEG
nfle26,C3-P3,EEG
nfle26,P3-O1,EEG
nfle26,F7-T3,EEG
nfle26,T3-T5,EEG
nfle26,C4-A1,EEG
nfle26,ROC-LOC,EOG
