patient,channel,category,n_samples,n_saturated,pct_saturated
ins5,FP2-F4,EEG,26419200,0,0.0
ins5,F4-C4,EEG,26419200,0,0.0
ins5,C4-P4,EEG,26419200,0,0.0
ins5,P4-O2,EEG,26419200,18,0.0001
ins5,C4-A1,EEG,26419200,0,0.0
ins5,ROC-LOC,EOG,26419200,86725,0.3283
ins5,EMG1-EMG2,EMG,26419200,154821,0.586
ins5,ECG1-ECG2,ECG,26419200,11334,0.0429
ins5,SAO2,OXYGEN,26419200,26419072,99.9995
ins5,HR,UNKNOWN,26419200,26418895,99.9988
ins5,PLETH,OXYGEN,26419200,26312193,99.595
ins5,STAT,UNKNOWN,26419200,10770509,40.7677
ins6,ROC-LOC,EOG,24729600,1161,0.0047
ins6,FP2-F4,EEG,24729600,0,0.0
ins6,F4-C4,EEG,24729600,12,0.0
ins6,C4-P4,EEG,24729600,23,0.0001
ins6,P4-O2,EEG,24729600,3,0.0
ins6,C4-A1,EEG,24729600,15,0.0001
ins6,EMG1-EMG2,EMG,24729600,45,0.0002
ins6,ECG1-ECG2,ECG,24729600,17151,0.0694
ins6,DX1-DX2,OTHER,24729600,1195,0.0048
ins6,SX1-SX2,OTHER,24729600,270093,1.0922
ins6,SAO2,OXYGEN,24729600,24728243,99.9945
ins6,HR,UNKNOWN,24729600,24727521,99.9916
ins6,PLETH,OXYGEN,24729600,24631443,99.6031
ins6,STAT,UNKNOWN,24729600,18994990,76.8107
ins7,FP2-F4,EEG,22778880,4917,0.0216
ins7,F4-C4,EEG,22778880,440,0.0019
ins7,C4-P4,EEG,22778880,42517,0.1867
ins7,P4-O2,EEG,22778880,77940,0.3422
ins7,C4-A1,EEG,22778880,82256,0.3611
ins7,ROC-LOC,EOG,22778880,45131,0.1981
ins7,EMG1-EMG2,EMG,22778880,664,0.0029
ins7,ECG1-ECG2,ECG,22778880,26153,0.1148
ins7,SAO2,OXYGEN,22778880,22778364,99.9977
ins7,HR,UNKNOWN,22778880,22778042,99.9963
ins7,PLETH,OXYGEN,22778880,22694989,99.6317
ins7,STAT,UNKNOWN,22778880,10574401,46.422
ins8,ROC-LOC,EOG,15360000,13860,0.0902
ins8,FP2-F4,EEG,15360000,1433,0.0093
ins8,F4-C4,EEG,15360000,0,0.0
ins8,C4-P4,EEG,15360000,327,0.0021
ins8,P4-O2,EEG,15360000,3235,0.0211
ins8,FP1-F3,EEG,15360000,568,0.0037
ins8,F3-C3,EEG,15360000,13690,0.0891
ins8,C3-P3,EEG,15360000,12935,0.0842
ins8,P3-O1,EEG,15360000,196,0.0013
ins8,C4-A1,EEG,15360000,44,0.0003
ins8,EMG1-EMG2,EMG,15360000,28,0.0002
ins8,ECG1-ECG2,ECG,15360000,361,0.0024
ins8,DX1-DX2,OTHER,15360000,3,0.0
ins8,SX1-SX2,OTHER,15360000,71,0.0005
ins8,F8-T4,EEG,15360000,0,0.0
ins8,F7-T3,EEG,15360000,0,0.0
ins8,TORACE,THORAX,15360000,2570809,16.737
ins8,ADDOME,ABDOMEN,15360000,5805337,37.7952
ins8,SAO2,OXYGEN,15360000,15359945,99.9996
ins8,HR,UNKNOWN,15360000,15359867,99.9991
ins8,PLETH,OXYGEN,15360000,15288335,99.5334
ins8,STAT,UNKNOWN,15360000,7524576,48.9881
ins9,ROC-LOC,EOG,17157120,23,0.0001
ins9,FP2-F4,EEG,17157120,131,0.0008
ins9,F4-C4,EEG,17157120,316,0.0018
ins9,C4-P4,EEG,17157120,17271,0.1007
ins9,P4-O2,EEG,17157120,18976,0.1106
ins9,FP1-F3,EEG,17157120,429,0.0025
ins9,F3-C3,EEG,17157120,238,0.0014
ins9,C3-P3,EEG,17157120,3623,0.0211
ins9,P3-O1,EEG,17157120,7775,0.0453
ins9,C4-A1,EEG,17157120,224,0.0013
ins9,EMG1-EMG2,EMG,17157120,1935,0.0113
ins9,ECG1-ECG2,ECG,17157120,4526,0.0264
ins9,DX1-DX2,OTHER,17157120,33,0.0002
ins9,SX1-SX2,OTHER,17157120,50,0.0003
ins9,F8-T4,EEG,17157120,441,0.0026
ins9,F7-T3,EEG,17157120,115,0.0007
ins9,TORACE,THORAX,17157120,2349367,13.6932
ins9,ADDOME,ABDOMEN,17157120,7340542,42.7842
ins9,POSITION,OTHER,17157120,15492379,90.2971
ins9,SAO2,OXYGEN,17157120,17154233,99.9832
ins9,HR,UNKNOWN,17157120,17153342,99.978
ins9,PLETH,OXYGEN,17157120,17110958,99.7309
ins9,STAT,UNKNOWN,17157120,12076014,70.3849
n1,ROC-LOC,EOG,17725440,0,0.0
n1,LOC-ROC,UNKNOWN,17725440,0,0.0
n1,F2-F4,UNKNOWN,17725440,0,0.0
n1,F4-C4,EEG,17725440,0,0.0
n1,C4-P4,EEG,17725440,0,0.0
n1,P4-O2,EEG,17725440,108,0.0006
n1,F1-F3,UNKNOWN,17725440,0,0.0
n1,F3-C3,EEG,17725440,0,0.0
n1,C3-P3,EEG,17725440,0,0.0
n1,P3-O1,EEG,17725440,0,0.0
n1,C4-A1,EEG,17725440,0,0.0
n1,EMG1-EMG2,EMG,17725440,0,0.0
n1,ECG1-ECG2,ECG,17725440,0,0.0
n1,TERMISTORE,UNKNOWN,17725440,0,0.0
n1,TORACE,THORAX,17725440,4002100,22.5783
n1,ADDOME,ABDOMEN,17725440,3299729,18.6158
n1,DX1-DX2,OTHER,17725440,2,0.0
n1,SX1-SX2,OTHER,17725440,8,0.0
n1,POSIZIONE,UNKNOWN,17725440,17725440,100.0
n1,HR,UNKNOWN,17725440,17725396,99.9998
n1,SPO2,OXYGEN,17725440,17725399,99.9998
n10,FP2-F4,EEG,15052800,0,0.0
n10,F4-C4,EEG,15052800,0,0.0
n10,C4-P4,EEG,15052800,0,0.0
n10,P4-O2,EEG,15052800,0,0.0
n10,F8-T4,EEG,15052800,0,0.0
n10,T4-T6,EEG,15052800,1918,0.0127
n10,FP1-F3,EEG,15052800,313,0.0021
n10,F3-C3,EEG,15052800,318,0.0021
n10,C3-P3,EEG,15052800,0,0.0
n10,P3-O1,EEG,15052800,0,0.0
n10,F7-T3,EEG,15052800,0,0.0
n10,T3-T5,EEG,15052800,0,0.0
n10,C4-A1,EEG,15052800,740,0.0049
n10,ROC-LOC,EOG,15052800,267812,1.7792
n10,EMG1-EMG2,EMG,15052800,0,0.0
n10,ECG1-ECG2,ECG,15052800,0,0.0
n10,DX1-DX2,OTHER,15052800,3,0.0
n10,SX1-SX2,OTHER,15052800,0,0.0
n11,FP2-F4,EEG,16189440,229,0.0014
n11,F4-C4,EEG,16189440,0,0.0
n11,C4-P4,EEG,16189440,0,0.0
n11,P4-O2,EEG,16189440,0,0.0
n11,F8-T4,EEG,16189440,15787,0.0975
n11,T4-T6,EEG,16189440,0,0.0
n11,FP1-F3,EEG,16189440,0,0.0
n11,F3-C3,EEG,16189440,0,0.0
n11,C3-P3,EEG,16189440,0,0.0
n11,P3-O1,EEG,16189440,0,0.0
n11,F7-T3,EEG,16189440,0,0.0
n11,T3-T5,EEG,16189440,0,0.0
n11,C4-A1,EEG,16189440,0,0.0
n11,ROC-LOC,EOG,16189440,0,0.0
n11,EMG1-EMG2,EMG,16189440,85,0.0005
n11,ECG1-ECG2,ECG,16189440,984,0.0061
n11,DX1-DX2,OTHER,16189440,16,0.0001
n11,SX1-SX2,OTHER,16189440,9,0.0001
n11,SAO2,OXYGEN,16189440,16189347,99.9994
n11,HR,UNKNOWN,16189440,16189343,99.9994
n11,PLETH,OXYGEN,16189440,16128390,99.6229
n11,STAT,UNKNOWN,16189440,4963469,30.6587
n12,LOC / A2,UNKNOWN,2970000,0,0.0
n12,ROC / A1,UNKNOWN,2970000,0,0.0
n12,CHIN-0,UNKNOWN,2970000,0,0.0
n12,CHIN-1,UNKNOWN,2970000,0,0.0
n12,C3-A2,EEG,2970000,0,0.0
n12,C4-A1,EEG,2970000,0,0.0
n12,O1-A2,UNKNOWN,2970000,0,0.0
n12,O2-A1,UNKNOWN,2970000,0,0.0
n12,EKG,ECG,2970000,590,0.0199
n13,LOC,UNKNOWN,5885400,5885400,100.0
n13,ROC,UNKNOWN,5885400,5885400,100.0
n13,CHIN1,UNKNOWN,5885400,5885400,100.0
n13,CHIN2,UNKNOWN,5885400,5885400,100.0
n13,F3A2,UNKNOWN,5885400,5885400,100.0
n13,F4A1,UNKNOWN,5885400,5885400,100.0
n13,C3A2,UNKNOWN,5885400,5885400,100.0
n13,C4A1,UNKNOWN,5885400,5885400,100.0
n13,O1A2,UNKNOWN,5885400,5885400,100.0
n13,O2A1,UNKNOWN,5885400,5885400,100.0
n13,ECG,ECG,5885400,5862126,99.6045
n14,LOC,UNKNOWN,5910200,5910200,100.0
n14,ROC,UNKNOWN,5910200,5910200,100.0
n14,CHIN1,UNKNOWN,5910200,5910200,100.0
n14,CHIN2,UNKNOWN,5910200,5910200,100.0
n14,F3A2,UNKNOWN,5910200,5910200,100.0
n14,F4A1,UNKNOWN,5910200,5910200,100.0
n14,C3A2,UNKNOWN,5910200,5910200,100.0
n14,C4A1,UNKNOWN,5910200,5910200,100.0
n14,O1A2,UNKNOWN,5910200,5910200,100.0
n14,O2A1,UNKNOWN,5910200,5910200,100.0
n14,ECG,ECG,5910200,5910200,100.0
n15,EOG-L,UNKNOWN,5930000,5830424,98.3208
n15,EOG-R,UNKNOWN,5930000,5847363,98.6065
n15,CHIN1,UNKNOWN,5930000,5928200,99.9696
n15,CHIN2,UNKNOWN,5930000,5928200,99.9696
n15,F3A2,UNKNOWN,5930000,5877481,99.1144
n15,F4A1,UNKNOWN,5930000,5878773,99.1361
n15,C3A2,UNKNOWN,5930000,5874900,99.0708
n15,C4A1,UNKNOWN,5930000,5876101,99.0911
n15,O1A2,UNKNOWN,5930000,5866926,98.9364
n15,O2A1,UNKNOWN,5930000,5864362,98.8931
n15,EKG,ECG,5930000,5928200,99.9696
n16,FP2-F4,EEG,3080000,0,0.0
n16,F4-C4,EEG,3080000,0,0.0
n16,C4-P4,EEG,3080000,0,0.0
n16,P4-O2,EEG,3080000,0,0.0
n16,C4-A1,EEG,3080000,0,0.0
n2,FP2-F4,EEG,22579200,0,0.0
n2,F4-C4,EEG,22579200,0,0.0
n2,C4-P4,EEG,22579200,0,0.0
n2,P4-O2,EEG,22579200,0,0.0
n2,C4-A1,EEG,22579200,0,0.0
n2,ROC-LOC,EOG,22579200,147,0.0007
n2,EMG1-EMG2,EMG,22579200,52,0.0002
n2,ECG1-ECG2,ECG,22579200,62378,0.2763
n2,DX1-DX2,OTHER,22579200,27,0.0001
n2,SX1-SX2,OTHER,22579200,4360,0.0193
n2,SAO2,OXYGEN,22579200,22579162,99.9998
n2,HR,UNKNOWN,22579200,22579129,99.9997
n2,PLETH,OXYGEN,22579200,22495860,99.6309
n2,STAT,UNKNOWN,22579200,6219861,27.5469
n2,MIC,OTHER,22579200,0,0.0
n3,FP2-F4,EEG,16927232,0,0.0
n3,F4-C4,EEG,16927232,0,0.0
n3,C4-P4,EEG,16927232,0,0.0
n3,P4-O2,EEG,16927232,0,0.0
n3,F8-T4,EEG,16927232,0,0.0
n3,T4-T6,EEG,16927232,0,0.0
n3,FP1-F3,EEG,16927232,0,0.0
n3,F3-C3,EEG,16927232,0,0.0
n3,C3-P3,EEG,16927232,0,0.0
n3,P3-O1,EEG,16927232,271,0.0016
n3,F7-T3,EEG,16927232,0,0.0
n3,T3-T5,EEG,16927232,0,0.0
n3,C4-A1,EEG,16927232,0,0.0
n3,ROC-LOC,EOG,16927232,0,0.0
n3,EMG1-EMG2,EMG,16927232,0,0.0
n3,ECG1-ECG2,ECG,16927232,787,0.0046
n3,DX1-DX2,OTHER,16927232,0,0.0
n3,SX1-SX2,OTHER,16927232,0,0.0
n3,SAO2,OXYGEN,16927232,16927212,99.9999
n3,HR,UNKNOWN,16927232,16927201,99.9998
n3,PLETH,OXYGEN,16927232,16869061,99.6563
n3,STAT,UNKNOWN,16927232,4711711,27.8351
n3,MIC,OTHER,16927232,0,0.0
n4,EOG DX,UNKNOWN,7148000,1093,0.0153
n4,FP2-F4,EEG,7148000,0,0.0
n4,F4-C4,EEG,7148000,0,0.0
n4,C4-P4,EEG,7148000,0,0.0
n4,P4-O2,EEG,7148000,0,0.0
n4,C4-A1,EEG,7148000,0,0.0
n4,MILO,UNKNOWN,7148000,305842,4.2787
n4,EOG SIN,UNKNOWN,7148000,92,0.0013
n4,TIB DX,UNKNOWN,7148000,43566,0.6095
n4,TIB SIN,UNKNOWN,7148000,1305,0.0183
n4,CANNULA,FLOW,7148000,7147859,99.998
n4,TORACICO,THORAX,7148000,63876,0.8936
n4,EKG,ECG,7148000,26677,0.3732
n4,DELTOIDE,UNKNOWN,7148000,2224,0.0311
n4,HEART RATE VARIA,UNKNOWN,7148000,7141148,99.9041
n4,FLATTENING,UNKNOWN,7148000,6274167,87.7751
n4,FLOW,FLOW,7148000,7147778,99.9969
n5,FP2-F4,EEG,16097792,85,0.0005
n5,F4-C4,EEG,16097792,6,0.0
n5,C4-P4,EEG,16097792,38,0.0002
n5,P4-O2,EEG,16097792,66,0.0004
n5,F8-T4,EEG,16097792,108,0.0007
n5,T4-T6,EEG,16097792,23,0.0001
n5,FP1-F3,EEG,16097792,0,0.0
n5,F3-C3,EEG,16097792,0,0.0
n5,C3-P3,EEG,16097792,636,0.004
n5,P3-O1,EEG,16097792,825,0.0051
n5,F7-T3,EEG,16097792,0,0.0
n5,T3-T5,EEG,16097792,0,0.0
n5,C4-A1,EEG,16097792,3,0.0
n5,ROC-LOC,EOG,16097792,27,0.0002
n5,EMG1-EMG2,EMG,16097792,0,0.0
n5,ECG1-ECG2,ECG,16097792,4253,0.0264
n5,DX1-DX2,OTHER,16097792,19,0.0001
n5,SX1-SX2,OTHER,16097792,0,0.0
n5,SAO2,OXYGEN,16097792,16097772,99.9999
n5,HR,UNKNOWN,16097792,16097778,99.9999
n5,PLETH,OXYGEN,16097792,16044802,99.6708
n5,STAT,UNKNOWN,16097792,1684810,10.4661
n5,MIC,OTHER,16097792,0,0.0
n6,LOC-A1,UNKNOWN,4048000,0,0.0
n6,ROC-A2,UNKNOWN,4048000,0,0.0
n6,EMG-EMG,UNKNOWN,4048000,0,0.0
n6,C3-A2,EEG,4048000,0,0.0
n6,O2-A1,UNKNOWN,4048000,0,0.0
n6,ECG,ECG,4048000,0,0.0
n6,TAG,UNKNOWN,4048000,0,0.0
n6,THE,UNKNOWN,4048000,0,0.0
n7,LOC-A1,UNKNOWN,3781120,0,0.0
n7,ROC-A2,UNKNOWN,3781120,0,0.0
n7,EMG-EMG,UNKNOWN,3781120,0,0.0
n7,C3-A2,EEG,3781120,0,0.0
n7,O2-A1,UNKNOWN,3781120,0,0.0
n7,ECG,ECG,3781120,0,0.0
n7,TAG,UNKNOWN,3781120,0,0.0
n7,THE,UNKNOWN,3781120,0,0.0
n8,C3-A2,EEG,6008000,0,0.0
n8,C4-P4,EEG,6008000,0,0.0
n8,EKG,ECG,6008000,0,0.0
n8,EOG-L,UNKNOWN,6008000,0,0.0
n8,EOG-R,UNKNOWN,6008000,88,0.0015
n8,F4-C4,EEG,6008000,0,0.0
n8,FP2-F4,EEG,6008000,0,0.0
n8,P4-O2,EEG,6008000,13902,0.2314
n8,TIB DX,UNKNOWN,6008000,15,0.0002
n8,TIB SX,UNKNOWN,6008000,1,0.0
n8,ABDOMEN,ABDOMEN,6008000,14968,0.2491
n8,FLOW,FLOW,6008000,6007599,99.9933
n8,MILO,UNKNOWN,6008000,2,0.0
n8,THORAX,THORAX,6008000,14010,0.2332
n9,LOC-A1,UNKNOWN,4088448,0,0.0
n9,ROC-A2,UNKNOWN,4088448,0,0.0
n9,EMG,EMG,4088448,0,0.0
n9,C3-A2,EEG,4088448,0,0.0
n9,O2-A1,UNKNOWN,4088448,0,0.0
n9,ECG,ECG,4088448,0,0.0
n9,TAG,UNKNOWN,4088448,0,0.0
n9,THE,UNKNOWN,4088448,0,0.0
narco1,ROC-LOC,EOG,17326080,93,0.0005
narco1,FP2-F4,EEG,17326080,0,0.0
narco1,F4-C4,EEG,17326080,0,0.0
narco1,C4-P4,EEG,17326080,0,0.0
narco1,P4-O2,EEG,17326080,0,0.0
narco1,C4-A1,EEG,17326080,0,0.0
narco1,EMG1-EMG2,EMG,17326080,11021,0.0636
narco1,ECG1-ECG2,ECG,17326080,771,0.0044
narco1,TORACE,THORAX,17326080,849842,4.905
narco1,DX1-DX2,OTHER,17326080,1,0.0
narco1,SX1-SX2,OTHER,17326080,18,0.0001
narco1,SAO2,OXYGEN,17326080,17325849,99.9987
narco1,HR,UNKNOWN,17326080,17325237,99.9951
narco1,PLETH,OXYGEN,17326080,17183131,99.1749
narco1,STAT,UNKNOWN,17326080,7939282,45.8227
narco2,ROC-LOC,EOG,17648640,26,0.0001
narco2,FP2-F4,EEG,17648640,701,0.004
narco2,F4-C4,EEG,17648640,634,0.0036
narco2,C4-P4,EEG,17648640,391,0.0022
narco2,P4-O2,EEG,17648640,525,0.003
narco2,C4-A1,EEG,17648640,264,0.0015
narco2,EMG1-EMG2,EMG,17648640,0,0.0
narco2,ECG1-ECG2,ECG,17648640,62,0.0004
narco2,TORACE,THORAX,17648640,1000764,5.6705
narco2,SAO2,OXYGEN,17648640,17648594,99.9997
narco2,HR,UNKNOWN,17648640,17648305,99.9981
narco2,PLETH,OXYGEN,17648640,17562579,99.5124
narco2,STAT,UNKNOWN,17648640,4823776,27.3323
narco3,ROC-LOC,EOG,23578112,5983,0.0254
narco3,FP2-F4,EEG,23578112,415,0.0018
narco3,F4-C4,EEG,23578112,0,0.0
narco3,C4-P4,EEG,23578112,45,0.0002
narco3,P4-O2,EEG,23578112,40,0.0002
narco3,C4-A1,EEG,23578112,950,0.004
narco3,EMG1-EMG2,EMG,23578112,97971,0.4155
narco3,ECG1-ECG2,ECG,23578112,535927,2.273
narco3,DX1-DX2,OTHER,23578112,952,0.004
narco3,SX1-SX2,OTHER,23578112,373195,1.5828
narco4,FP2-F4,EEG,20121600,0,0.0
narco4,F4-C4,EEG,20121600,319,0.0016
narco4,C4-P4,EEG,20121600,0,0.0
narco4,P4-O2,EEG,20121600,208,0.001
narco4,FP1-F3,EEG,20121600,197,0.001
narco4,F3-C3,EEG,20121600,15,0.0001
narco4,C3-P3,EEG,20121600,18,0.0001
narco4,P3-O1,EEG,20121600,9,0.0
narco4,C4-A1,EEG,20121600,162,0.0008
narco4,ROC-LOC,EOG,20121600,60,0.0003
narco4,EMG1-EMG2,EMG,20121600,8940,0.0444
narco4,ECG1-ECG2,ECG,20121600,699,0.0035
narco4,DX1-DX2,OTHER,20121600,183,0.0009
narco4,SX1-SX2,OTHER,20121600,2350,0.0117
narco4,SAO2,OXYGEN,20121600,20121528,99.9996
narco4,HR,UNKNOWN,20121600,20121483,99.9994
narco4,PLETH,OXYGEN,20121600,20031250,99.551
narco4,STAT,UNKNOWN,20121600,9003285,44.7444
narco5,FP2-F4,EEG,12533760,0,0.0
narco5,F4-C4,EEG,12533760,0,0.0
narco5,C4-P4,EEG,12533760,0,0.0
narco5,P4-O2,EEG,12533760,0,0.0
narco5,C4-A1,EEG,12533760,1127,0.009
narco5,ROC-LOC,EOG,12533760,500,0.004
narco5,EMG1-EMG2,EMG,12533760,0,0.0
narco5,ECG1-ECG2,ECG,12533760,413,0.0033
narco5,DX1-DX2,OTHER,12533760,6944,0.0554
narco5,SX1-SX2,OTHER,12533760,765,0.0061
narco5,SAO2,OXYGEN,12533760,12533712,99.9996
narco5,HR,UNKNOWN,12533760,12533713,99.9996
narco5,PLETH,OXYGEN,12533760,12506270,99.7807
narco5,STAT,UNKNOWN,12533760,4521176,36.072
nfle1,FP2-F4,EEG,16711680,0,0.0
nfle1,F4-C4,EEG,16711680,0,0.0
nfle1,C4-P4,EEG,16711680,0,0.0
nfle1,P4-O2,EEG,16711680,13,0.0001
nfle1,F8-T4,EEG,16711680,1273,0.0076
nfle1,T4-T6,EEG,16711680,4177,0.025
nfle1,FP1-F3,EEG,16711680,383,0.0023
nfle1,F3-C3,EEG,16711680,230,0.0014
nfle1,C3-P3,EEG,16711680,951,0.0057
nfle1,P3-O1,EEG,16711680,1003,0.006
nfle1,F7-T3,EEG,16711680,114,0.0007
nfle1,T3-T5,EEG,16711680,3125,0.0187
nfle1,C4-A1,EEG,16711680,14810,0.0886
nfle1,ROC-LOC,EOG,16711680,13580,0.0813
nfle1,EMG1-EMG2,EMG,16711680,167,0.001
nfle1,ECG1-ECG2,ECG,16711680,25963,0.1554
nfle1,DX1-DX2,OTHER,16711680,7,0.0
nfle1,SX1-SX2,OTHER,16711680,205,0.0012
nfle1,SAO2,OXYGEN,16711680,16711378,99.9982
nfle1,HR,UNKNOWN,16711680,16711394,99.9983
nfle1,PLETH,OXYGEN,16711680,16649250,99.6264
nfle1,STAT,UNKNOWN,16711680,7063217,42.2652
nfle10,FP2-F4,EEG,7541760,0,0.0
nfle10,F4-C4,EEG,7541760,0,0.0
nfle10,C4-P4,EEG,7541760,0,0.0
nfle10,P4-O2,EEG,7541760,0,0.0
nfle10,F8-T4,EEG,7541760,0,0.0
nfle10,T4-T6,EEG,7541760,0,0.0
nfle10,FP1-F3,EEG,7541760,0,0.0
nfle10,F3-C3,EEG,7541760,0,0.0
nfle10,C3-P3,EEG,7541760,0,0.0
nfle10,P3-O1,EEG,7541760,0,0.0
nfle10,F7-T3,EEG,7541760,0,0.0
nfle10,T3-T5,EEG,7541760,0,0.0
nfle10,C4-A1,EEG,7541760,0,0.0
nfle10,ROC-LOC,EOG,7541760,0,0.0
nfle10,EMG1-EMG2,EMG,7541760,0,0.0
nfle10,ECG1-ECG2,ECG,7541760,0,0.0
nfle10,DX1-DX2,OTHER,7541760,0,0.0
nfle10,SX1-SX2,OTHER,7541760,0,0.0
nfle10,SAO2,OXYGEN,7541760,7540660,99.9854
nfle10,HR,UNKNOWN,7541760,7541498,99.9965
nfle10,PLETH,OXYGEN,7541760,0,0.0
nfle10,OX STATUS,OXYGEN,7541760,2660902,35.2822
nfle11,ROC-LOC,EOG,7833600,0,0.0
nfle11,FP2-F4,EEG,7833600,0,0.0
nfle11,F4-C4,EEG,7833600,0,0.0
nfle11,C4-P4,EEG,7833600,0,0.0
nfle11,P4-O2,EEG,7833600,0,0.0
nfle11,F8-T4,EEG,7833600,0,0.0
nfle11,T4-T6,EEG,7833600,0,0.0
nfle11,FP1-F3,EEG,7833600,0,0.0
nfle11,F3-C3,EEG,7833600,0,0.0
nfle11,C3-P3,EEG,7833600,0,0.0
nfle11,P3-O1,EEG,7833600,0,0.0
nfle11,F7-T3,EEG,7833600,0,0.0
nfle11,T3-T5,EEG,7833600,0,0.0
nfle11,C4-A1,EEG,7833600,0,0.0
nfle11,EMG1-EMG2,EMG,7833600,0,0.0
nfle11,ECG1-ECG2,ECG,7833600,0,0.0
nfle11,DX1-DX2,OTHER,7833600,0,0.0
nfle11,SX1-SX2,OTHER,7833600,0,0.0
